Price,District,City,Town,EnergyCertificate,Floor,Parking,HasParking,ConstructionYear,TotalArea,Garage,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,LivingArea,NumberOfBathrooms,Lift or Elevator
184000.0,0,3,3,6,0.0,0.0,False,1983.0,96.0,,False,2.0,,88.0,1.0,True
355000.0,0,3,3,4,1.0,2.0,True,2023.0,700.0,,False,3.0,,114.0,2.0,True
355000.0,0,3,3,4,0.0,2.0,True,2023.0,700.0,,False,3.0,,114.0,2.0,True
370000.0,0,3,3,4,3.0,2.0,True,2023.0,700.0,,False,3.0,,114.0,2.0,True
249500.0,0,1,1,6,0.0,0.0,False,1989.0,69.0,,False,2.0,,65.0,2.0,False
6500.0,0,1,1,1,3.0,0.0,False,1990.0,42.0,,False,1.0,,42.0,1.0,True
223000.0,0,3,3,2,0.0,0.0,False,1981.0,100.0,,False,3.0,,89.0,2.0,True
216000.0,0,2,13,3,5.0,0.0,False,1992.0,61.0,,False,1.0,,61.0,1.0,False
180000.0,0,3,14,3,5.0,0.0,False,1989.0,66.0,,False,1.0,,59.0,1.0,False
37000.0,0,1,1,7,1.0,1.0,True,1994.0,68.0,,False,1.0,,68.0,,True
6000.0,0,1,1,1,1.0,1.0,True,1989.0,40.0,,False,,,40.0,1.0,True
4000.0,0,1,1,1,1.0,1.0,True,1989.0,40.0,,False,,,40.0,1.0,True
1580000.0,1,10,15,3,5.0,3.0,True,2006.0,275.0,,False,4.0,,275.0,4.0,True
265000.0,0,4,4,2,3.0,0.0,False,1997.0,100.0,,False,2.0,,100.0,2.0,True
275000.0,0,3,14,3,0.0,0.0,False,1985.0,270.0,,False,2.0,,96.0,1.0,False
260000.0,0,11,16,3,0.0,1.0,True,2007.0,100.0,,False,2.0,,178.0,1.0,False
20000.0,0,6,8,1,9.0,0.0,False,1991.0,127.0,,False,2.0,,113.0,3.0,True
205000.0,0,3,3,3,10.0,1.0,True,2002.0,3365.0,,False,1.0,,49.0,1.0,True
232000.0,0,12,17,6,1.0,0.0,False,1981.0,120.0,,False,4.0,,150.0,2.0,False
371500.0,0,4,4,3,4.0,0.0,False,1972.0,121.0,,False,4.0,,109.0,2.0,True
360000.0,0,5,18,3,5.0,2.0,True,2009.0,1466.0,,False,3.0,,129.0,2.0,True
860000.0,0,5,5,4,2.0,2.0,True,2021.0,134.0,,False,2.0,,172.0,1.0,True
170000.0,0,3,3,6,4.0,0.0,False,1987.0,88.0,,False,2.0,,88.0,1.0,True
259000.0,0,13,19,3,4.0,0.0,False,1999.0,116.0,,False,3.0,,104.0,2.0,True
